SKU,Inventory
beatlesonesie001,1
DELUXE-ADULT-Number1Mom,99
DELUXE-ADULT-Number1MomDots,99
UglySweater-ElfieMens-XXL,24
UglySweater-ElfieMens-3XL,1
UglySweater-ElfieMens-L,46
UglySweater-ElfieMens-M,18
UglySweater-ElfieMens-S,39
UglySweater-ElfieMens,1
UglySweater-ElfieMens-XL,28
UglySweater-ElfieWomens-XXL,40
UglySweater-ElfieWomens-3XL,6
UglySweater-ElfieWomens-L,48
UglySweater-ElfieWomens-M,1
UglySweater-ElfieWomens-S,7
UglySweater-ElfieWomens,1
UglySweater-ElfieWomens-XL,34
stpatricks009j-L,2
stpatricks009j,1
100769-3DPinkBunnySocks FBA,50
102025-InfOrnament-18-Red1,2738
103004-RockyWhiteBoots-FBA-L,0
103004-RockyWhiteBoots-FBA-M,0
103004-RockyWhiteBoots-FBA-S,0
103004-RockyWhiteBoots-FBA-XL,0
103004-RockyWhiteBoots-FBA-XS,0
103010-RiddlerBoots-FBA-10-11,6
103010-RiddlerBoots-FBA-12-13,6
103010-RiddlerBoots-FBA-14,6
103012-MooseMug FBA-1pack,48
103015-BabyCarlosDollGlasses,139
1814-BlackHat-OS,0
220998-1922Coin-OS,0
221053-GonzJournalist-XXL,46
221053-GonzJournalist-3XL,26
221053-GonzJournalist-L,82
221053-GonzJournalist-M,62
221053-GonzJournalist-S,30
221053-GonzJournalist-XL,62
103071-BarrelMonkeyTie-OS,731
junk566,0
junk566-L,0
junk566-S,0
twobrokegirls-L/XL,0
twobrokegirls-S/M,0
RWTM0I2-YodaSweatshirtSet-2T,577
RWTM0I2-YodaSweatshirtSet-3T,537
RWTM0I2-YodaSweatshirtSet-4T,452
RWTM0I2-YodaSweatshirtSet-5T,301
C10071-3XL,24
C10071-4XL,53
C10071-5XL,0
C10071-L,0
C10071-M,0
C10071-S,168
C10071-XL,23
C10071-XS,46
C10071-XXL,19
C10072-3XL,36
C10072-4XL,54
C10072-L,4
C10072-M,0
C10072-S,57
C10072-XL,26
C10072-XS,12
C10072-XXL,12
C10073-XXL,0
C10073-3XL,26
C10073-4XL,46
C10073-L,31
C10073-M,22
C10073-S,0
C10073-XL,16
C10073-XS,10
C10074-XXL,0
C10074-3XL,7
C10074-4XL,56
C10074-L,1
C10074-M,0
C10074-S,25
C10074-XL,3
C10074-XS,17
204070-Detective&Blue-FBA-2XL,0
204070-Detective&Blue-FBA-3XL,0
204070-Detective&Blue-FBA-L,0
204070-Detective&Blue-FBA-M,0
204070-Detective&Blue-FBA-XL,0
204072-OfficeBossComboSet-FBA-2X,0
204072-OfficeBossComboSet-FBA-L,0
204072-OfficeBossComboSet-FBA-M,0
204072-OfficeBossComboSet-FBA-XL,0
204088-HopperHawaiian-FBA-2XL,0
204088-HopperHawaiian-FBA-3XL,0
204088-HopperHawaiian-FBA-L,0
204088-HopperHawaiian-FBA-M,0
204088-HopperHawaiian-FBA-XL,0
210106-CousinsBeach-2XL,27
210106-CousinsBeach-3XL,13
210106-CousinsBeach-L,30
210106-CousinsBeach-M,19
210106-CousinsBeach-S,26
210106-CousinsBeach-XL,22
210106-CousinsBeach-XS,34
22jump001-XXL,9
22jump001-L,0
22jump001-M,0
22jump001-S,0
22jump001-XL,5
22jump001,1
220745-AhoySailorWOMENS-FBA-L/XL,0
220745-AhoySailorWOMENS-FBA-XXL,0
220752-RockfordMENS-FBA-2XL,0
220752-RockfordMENS-FBA-L/XL,0
220762-RoddyKiltBelt-FBA-L/XL,0
220811-SkeletonPajamaGLOW-FBA-2X,15
220811-SkeletonPajamaGLOW-S-FBA,25
220843-ConeHead-Adult1-FBA,120
220882-FreeGuySet-FBA-2XL,19
220882-FreeGuySet-FBA-3XL,20
220882-FreeGuySet,0
220882-FreeGuySet-FBA-L,17
220882-FreeGuySet-FBA-M,17
220882-FreeGuySet-FBA-S,19
220882-FreeGuySet-FBA-XL,20
220891-AveJoesCpt FBA-XS,15
220891-AveJoesCpt FBA-XXL,15
220893-TedLassoSweater-FBA-XXL,28
220893-TedLassoSweater-FBA-3XL,29
220893-TedLassoSweater-FBA-L,112
220893-TedLassoSweater-FBA-M,57
220893-TedLassoSweater-FBA-S,28
220893-TedLassoSweater-FBA-XL,24
220895-MartyMcflyCostume-FBA-2XL,0
220895-MartyMcflyCostume-FBA-L,16
220895-MartyMcflyCostume-FBA-M,0
220895-MartyMcflyCostume-FBA-S,0
220895-MartyMcflyCostume-FBA-XL,0
220900-ManYellowHatCostu-FBA-2XL,0
220900-ManYellowHatCostume-FBA-L,12
220900-ManYellowHatCostume-FBA-M,0
220900-ManYellowHatCostume-FBA-S,0
220900-ManYellowHatCostum-FBA-XL,20
220907-CandyWorker-FBA-10/12,0
220907-CandyWorker-FBA-2T,18
220907-CandyWorker-FBA-2XL,0
220907-CandyWorker-FBA-3/4,0
220907-CandyWorker-FBA-3XL,0
220907-CandyWorker-FBA-5/6,0
220907-CandyWorker-FBA-7/8,0
220907-CandyWorker-FBA-L,0
