Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
113-7713528-4910640	25-Jul-2023	31-Jul-2023	Approved	D76rZTrkRRMA	 	AmazonPrePaidLabel	4.24	USD	USPS	9202090339598330325089	Seller	N	N	B0B94TG3PZ	DazedConfusedTedNugent-Shirt-M	Dazed Confused David Halloween Costume T-Shirt Tee White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	27.01	1	ORDER_IN_RE_SELLABLE_CONDITION	56162-69787-2020131	NOGRANT	12-Sep-2023	 	27.01
111-2999091-4557842	14-Jul-2023	31-Jul-2023	Approved	DfhXZbrpRRMA	 	AmazonPrePaidLabel	5.76	USD	UPS	1Z0V2Y989082745648	Seller	N	N	B009Q73R1M	caddyshackhat002	Caddyshack Bushwood Country Club Golf White Baseball Hat	4	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	94.75	4	INVALID_SELLER_REFUND_OR_DEBIT	43440-05181-0853661	GRANT	17-Aug-2023	2.95	94.75
112-6614708-8843452	25-Jul-2023	31-Jul-2023	Approved	DrhkZKrnRRMA	 	AmazonPrePaidLabel	5.18	USD	UPS	1Z0V2Y989082737997	Customer	N	N	B07WSR6QRD	220714-TrainEngineerChildCostume-2/3	Train Conductor Engineer Child Deluxe Halloween Costume Set (2/3)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	36.92	1	 	 	 	 	 	31.74
112-7588521-6636221	20-Jul-2023	31-Jul-2023	Approved	Dhz2Zgr6RRMA	 	AmazonPrePaidLabel	6.15	USD	UPS	1Z0V2Y989082713931	Customer	N	N	B07GX2Y44K	GhostbustersDress-25KHA-M	Ghostbusters Womens Romper Costume with 4 Interchangeable Name Patches (Adult Medium) Beige	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	128.38	2	 	 	 	 	 	58.04
114-1059057-3243465	14-Jul-2023	31-Jul-2023	Approved	DZzYZZrRRRMA	 	AmazonPrePaidLabel	5.76	USD	UPS	1Z0V2Y989082705299	Seller	N	N	B07SNFGHJC	220066-SpacemenChubSuit-Adult	Unisex Astronaut Spaceman Inflatable Chub-Suit Costume Jumpsuit (Adult) White	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	 	 	42.79	1	 	 	 	 	 	42.79
114-7379724-4535469	17-Jul-2023	31-Jul-2023	Approved	D7TSZgrvRRMA	 	AmazonPrePaidLabel	5.76	USD	UPS	1Z0V2Y989082680799	Customer	N	N	B0BFYVSNVV	220940-SwatVest	Livestock Agent Wyoming Police Vest Halloween Costume Cosplay	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	31.75	1	 	 	 	 	 	25.99
112-5203351-4529017	18-Jul-2023	31-Jul-2023	Approved	D5cmZCrhRRMA	 	AmazonPrePaidLabel	6.15	USD	UPS	1Z0V2Y989082669874	Customer	N	N	B09JT5NT8K	SoapLoofahCostume	Soap Loofah Bubbles Adult Costume Set Cosplay	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	47.58	1	 	 	 	 	 	47.58
114-6557240-6417001	26-Jul-2023	31-Jul-2023	Approved	D2cFZ0rZRRMA	 	AmazonPrePaidLabel	5.33	USD	USPS	9202090339598330271416	Seller	N	N	B014LRD9XW	captamerica038-XL	Marvel Captain America Sublimated Long Sleeve Costume T-Shirt (Adult X-Large)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	21.89	1	ORDER_IN_RE_SELLABLE_CONDITION	34164-95959-9422024	NOGRANT	09-Aug-2023	 	21.89
112-3257081-8409057	15-Jul-2023	31-Jul-2023	Approved	DpcZZ1rcRRMA	 	AmazonPrePaidLabel	6.87	USD	UPS	1Z0V2Y989082653630	Customer	N	N	B0BGQPKPCY	GreenMonsterSuit-Mask1-S-M	Christmas Green Monster Furry Jumpsuit Shoes Gloves and Mask Halloween Costume Cosplay (Green Monster Standard Mask, S/M)	1	CR-UNWANTED_ITEM	Y	C-Returns	RefundAtFirstScan	 	 	59.95	1	 	 	 	 	 	53.08
112-5159778-8675437	06-Jul-2023	31-Jul-2023	Approved	DBcdZBrBRRMA	 	AmazonPrePaidLabel	3.90	USD	USPS	9202090339598330259339	Seller	N	N	B00NO30O6K	ultimatewarriorwristbands	The Ultimate Warrior 3-Stripe Wristband Set (Includes 2 Wrisbands)	1	AMZ-PG-WJ-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	12.94	1	 	 	 	 	 	 
