Order ID,Return request date,ASIN,Merchant SKU,Item Name,Return quantity,Return Reason
112-7981486-3131406,05/31/25,B07HGKJPW7,BelAirJersey-Banks-3XL,Costume Agent Bel Air Basketball Jersey Banks Gold/Yellow #25 (Adult XXX-Large),1,AMZ-PG-APP-TOO-SMALL
111-9524718-3997820,05/31/25,B01LBRLGPS,100576BLACK-M,Caribbean Pirate Boots Adventure Footwear Halloween Costume Renaissance Medieval Cosplay,1,AMZ-PG-APP-TOO-LARGE
114-6696453-0365820,05/31/25,B074PF54JL,EMSW6025-SWReyHoodedScarf,Star Wars The Force Awakens Rey Hooded Scarf,1,CR-UNWANTED_ITEM
114-5575917-3837004,05/31/25,B09RQ6JNLV,thewarrior001-XXL,Costume Agent Warriors Vest and Bandana Set Halloween Movie Gang Cosplay (XXL),1,AMZ-PG-APP-TOO-SMALL
113-3979715-1875460,05/31/25,B0CFMGKNKL,220980-SaltPepaCostume-L,Salt and Pepper Idol Maker Let There be Music Jacket and Hat Halloween Costume Cosplay,1,CR-UNWANTED_ITEM
113-0713959-9150653,05/31/25,B0157DQ8IC,sriracha005-M,"Sriracha Sauce Bottle Costume Shirt and Hat (Adult Medium) Red, Green",2,AMZ-PG-APP-TOO-LARGE
114-8287631-5801824,05/31/25,B08GYCG2S7,220757-AverageJoesWomensSet-M,Costume Agent Dodgeball Average Joe's Halloween Costume For Women,1,AMZ-PG-APP-TOO-SMALL
113-2842106-8761866,05/31/25,B01JGYNHFK,biglpants001-XL,Costume Agent The Dude Lebowski Movie Character Pajama Pants Halloween Costume Cosplay Multicolor,1,CR-UNWANTED_ITEM
114-5790367-7307400,05/31/25,B08LQPZ9C3,PowerRangers-Pink-SLShirt-M,"Power Rangers Pink Costume T-Shirt(Pink,Medium)",1,AMZ-PG-APP-TOO-SMALL
113-1835244-0407404,05/31/25,B0CF6X8M2S,mannequin001-Nude-Toddler,"Costume Agent Inflatable Blow Up Costume Mannequin Doll Multiple Colors and Sizes Halloween Accessory Decorations, Nude",1,AMZ-PG-APP-TOO-SMALL
111-0371791-8607406,05/31/25,B0B8GDBHB7,ChesterCheetosSuit-L,"Cheetos Men's Chester Cheetah Fleece Costume Union Suit, Sun Orange/White, Large",1,AMZ-PG-APP-TOO-LARGE
111-6543299-2773818,05/31/25,B07V5R7LVY,204070-DetectiveGREENShirt-L,Costume Agent Blue & Detective Striped Long Sleeve T-Shirt Halloween Cosplay Cosplay - Green (Large),1,AMZ-PG-APP-TOO-SMALL
113-8434428-7081854,05/31/25,B016X4YD3G,scarfaceglasses001,Scarface Tony Montana Black Gradiant Sunglasses,1,CR-DEFECTIVE
114-6944087-3825067,05/31/25,B0BHZV94L5,103008-ElfShoes-8-9,Buddy The Elf Christmas Costume Shoes Holiday Festive Footwear Accessory for Halloween & Cosplay,1,CR-UNWANTED_ITEM
113-9192943-9911401,05/31/25,B08H9MVL7C,220765-HollywoodYellowShirt-S,Once Upon a Time Brad Hollywood Halloween Costume Cosplay Button Up Shirt Yellow,1,CR-ORDERED_WRONG_ITEM
112-0200362-1085069,05/31/25,B08KRXR4R2,220785-DumbDumber-ORNG-M,Costume Agent Dumb and Dumber Tuxedo Halloween Costume Cosplay - Movie Costumes - 70s Tuxedo - Orange - Medium - Dumb & Dumber Tuxedo - Women & Mens Costume,1,CR-ORDERED_WRONG_ITEM
112-0200362-1085069,05/31/25,B08KRGX9LT,220786-LT-DumbDumber-BLUE-S,Costume Agent Dumb and Dumber Tuxedo Halloween Costume Cosplay - Movie Costumes - 70s Tuxedo - Blue - Small - Dumb & Dumber Tuxedo - Women & Mens Costume,1,CR-ORDERED_WRONG_ITEM
111-3390917-2721057,05/31/25,B0BKR4JGLP,NDLA0FGMBJ-AvatarPanelPants-S,Mad Engine Adult Unisex Avatar The Last Airbender Animated TV Series Jogger Lounge Pants,1,AMZ-PG-APP-TOO-LARGE
112-0009691-8576230,05/30/25,B0DBSX22TB,221066-JurassicHatVest-L/XL,Dinosaur Park Ranger Jurassic Vest and Hat Halloween Costume Cosplay Set,1,AMZ-PG-APP-TOO-SMALL
112-7681519-9238619,05/30/25,B09HW99L3M,204092-RainbowCardigan-L,Golf Rainbow Cardigan Sweater Caddy Halloween Costume Cosplay,1,CR-UNWANTED_ITEM
111-9899339-5761846,05/30/25,B00DL8MEUM,nerdstankdressBLUE-M,"TV Store Nerds Candy Tunic Tank Dress with Glasses (Juniors Medium, Blue: Blue Raspberry)",1,AMZ-PG-APP-TOO-SMALL
113-3337454-8513028,05/30/25,B0CLYMC6DG,CDCT-CheetosFireBeanieHat-OS,Mad Engine Chester Cheetos Beanie Hat Fire Breather Pom Winter Cuffed Beanies (Fire),1,AMZ-PG-APP-TOO-SMALL
111-8398742-0210632,05/30/25,B01LBRLGPS,100576BLACK-M,Caribbean Pirate Boots Adventure Footwear Halloween Costume Renaissance Medieval Cosplay,1,AMZ-PG-APP-TOO-SMALL
113-9824265-9881053,05/30/25,B09DXL5ZG8,PRangersShirtYouth-Red-L,"Power Rangers Mighty Morphin Red Boys Youth Armor Costume T-Shirt (LG, Red)",1,AMZ-PG-APP-TOO-SMALL
114-4867564-3464202,05/30/25,B00FH80Y2Y,powerrangers017red-S,Power Rangers The Red Tunic Tank Dress with Socks (Juniors Small),1,AMZ-PG-BAD-DESC
114-1338688-1476211,05/30/25,B0BCXJ8D1J,103007-WrestlingBoots-M,Costume Agent Matte Black Wrestling Boots Halloween Cosplay,1,AMZ-PG-APP-TOO-LARGE
113-7525893-1297844,05/30/25,B00FH80GT0,chubsuitcostume002-green,Costume Agent Adult Tuxedo Inflatable Chub Suit ® Costume (Green),1,AMZ-PG-APP-TOO-SMALL
111-7035688-5137036,05/30/25,B00DZ106AU,pedro001-XXXL,Napoleon Dynamite Vote for Pedro T-Shirt White (XXX-Large),1,AMZ-PG-APP-TOO-LARGE
113-2525091-0398668,05/30/25,B08PC7RFLG,CentralPerkLoungePants-2XL,Underboss Friends Central Perk Coffee Shop Christmas Lounge Pants (XX-Large),1,AMZ-PG-APP-TOO-LARGE
112-1189433-6520226,05/30/25,B0CFMF14TQ,220980-SaltPepaCostume-XXL,Salt and Pepper Idol Maker Let There be Music Jacket and Hat Halloween Costume Cosplay,1,CR-UNWANTED_ITEM
114-5278257-9028249,05/30/25,B08LQT1HGG,PowerRangers-Red-SLShirt-XL,"Power Rangers Red Costume T-Shirt(Red,X-Large)",1,CR-ORDERED_WRONG_ITEM
112-6342004-5230608,05/30/25,B09FJ3DBHM,220856-PandaInflatable-STD,Costume Agent Halloween Inflatable Chub Suit Cosplay Full Bodysuit Blow Up,1,AMZ-PG-APP-TOO-LARGE
114-6048291-7249840,05/30/25,B00CF8PFRI,sbb015-L,Saved By The Bell Kelly Kapowski Bayside Off The Shoulder Gray Juniors/Ladies Sweatshirt,1,AMZ-PG-APP-TOO-SMALL
112-9379438-6820243,05/30/25,B0B3JV7N6S,sbb015n-XL,"Bayside High Womens Kelly Kapowski Off The Shoulder Wide Cut Neck Top Tigers Sweatshirt (as1, Alpha, x_l, Regular, Regular, X-Large)",1,AMZ-PG-APP-TOO-LARGE
113-8916627-6893008,05/30/25,B0099U0LZ6,soahat005-L/XL,Sons of Anarchy SOA Reaper Crew Fitted Baseball Cap Hat (Adult Large/X-Large) Black,1,AMZ-PG-APP-TOO-LARGE
113-7361911-6664260,05/30/25,B015HNJVX6,dresshat001HAT3-Red,Costume Agent Dress Up Party Costume FEDORA Hat (Red),1,DID_NOT_LIKE_FABRIC
114-6119802-2563419,05/30/25,B00DUVG3RA,sriracha001-S,Ripple Junction Sriracha Bottle Label Red T-Shirt (Adult Small),1,DID_NOT_LIKE_COLOR
114-0586959-8588242,05/30/25,B0CFMF14TQ,220980-SaltPepaCostume-XXL,Salt and Pepper Idol Maker Let There be Music Jacket and Hat Halloween Costume Cosplay,1,CR-UNWANTED_ITEM
114-9068920-3474659,05/30/25,B09V8FQ5RW,nwo002N-M,Costume Agent New World Wrestling Adult T-shirt - Medium - NWO Shirts for Men & Women - NWO Tee Shirt for Men - WWE Shirts for Men - Wrestling Shirts - WWE T Shirts,1,AMZ-PG-APP-TOO-SMALL
111-6595397-9113052,05/30/25,B08GYNRBF5,220757-AverageJoesWomensSet-S,Costume Agent Dodgeball Average Joe's Halloween Costume For Women,1,AMZ-PG-APP-TOO-SMALL
114-3994976-5414667,05/30/25,B07WDCZQ3D,PineappleExpressPants-XL,Costume Agent Adult Pineapple Express Saul Halloween Costume Pants (X-Large) Red,1,AMZ-PG-APP-TOO-LARGE
111-4826970-8774654,05/30/25,B0CGRPY9BS,220986-RicFlairRobe-Pink-OS,Costume Agent Nature Boy Flair Wrestler Deluxe Robe Halloween Costume Cosplay,1,AMZ-PG-APP-TOO-LARGE
114-6788858-5798613,05/29/25,B01LDIJGQG,220660gldsm,Magical Mermaid Gold Sparkle Tail Deluxe Costume (S/M),1,AMZ-PG-APP-TOO-LARGE
114-7699715-6378630,05/29/25,B09J1KN5WT,dodgeball003-4XL,Costume Agent Dodgeball Average Joe's Adult Yellow Jersey Costume Set (4X-Large),1,CR-UNWANTED_ITEM
114-0571046-9969041,05/29/25,B010MR9LJG,dodgeball003-XXXL,Costume Agent Dodgeball Average Joe's Adult Yellow Jersey Costume Set Officially Licensed - 3X-Large - Average Joes Uniform - Dodgeball Jersey - Dodgeball Halloween Costume,1,AMZ-PG-APP-TOO-SMALL
114-3582826-6491410,05/29/25,B06XXMP1H9,YellowHulkGlasses,Hulk Hogan Retro Costume Sunglasses-Yellow,1,CR-UNWANTED_ITEM
113-9652121-1297850,05/29/25,B000HQ6Q3C,hulk003-L,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: Large",1,CR-UNWANTED_ITEM
113-5194747-9627464,05/29/25,B0CFMF14TQ,220980-SaltPepaCostume-XXL,Salt and Pepper Idol Maker Let There be Music Jacket and Hat Halloween Costume Cosplay,1,AMZ-PG-APP-TOO-LARGE
113-3316359-5798664,05/29/25,B0DBT15SVF,221066-JurassicHatVest-S/M,Dinosaur Park Ranger Jurassic Vest and Hat Halloween Costume Cosplay Set,1,CR-MISSED_ESTIMATED_DELIVERY
113-8289398-7126666,05/29/25,B0147ARM18,sharkcostume-M-L,Superstar Singer Halftime Show Left Shark Dancing Mascot Blue Zip Up Jumpsuit Adult Halloween Costume Cosplay,1,CR-MISSED_ESTIMATED_DELIVERY
112-6011104-7545058,05/29/25,B07G8J4QW9,JediBoots-100582-M,Costume Agent Brown Jedi Pirate Gotham Engineer Costume Boots (Adult Medium Size 10-11),1,AMZ-PG-APP-TOO-SMALL
111-1616914-3244248,05/29/25,B01LX0BVSI,220660rlxl,Magical Mermaid RED Sparkle Tail DELUXE Costume (L/XL),1,AMZ-PG-APP-TOO-SMALL
111-0435461-4917039,05/29/25,B01LBRL8AG,220660rsm,Magical Mermaid RED Sparkle Tail Deluxe Costume (S/M),1,AMZ-PG-APP-STYLE
114-1987498-8114662,05/29/25,B0BJRMFZNG,103019-PurpleCobrasArmor,Costume Agent Purple Cobras Halloween Costume Cosplay Body Armor Accessory,3,CR-UNWANTED_ITEM
114-9131721-3421825,05/29/25,B01LBRL97I,100576BROWN-S,Caribbean Pirate Boots Adventure Footwear Halloween Costume Renaissance Medieval Cosplay,1,AMZ-PG-APP-TOO-LARGE
111-6052342-5647448,05/29/25,B014LRDIGU,incredhulk013-XXXL,Marvel Incredible Hulk Sublimated Adult Long Sleeve Costume T-Shirt - 3X-Large Multi,1,CR-UNWANTED_ITEM
114-0498854-9454605,05/29/25,B00015HG2Y,ledzeppelin002-M,Led Zeppelin Adult Unisex United States America 1977 Tour Concert T-shirt Black,1,CR-UNWANTED_ITEM
113-2437442-1938638,05/29/25,B0DCH8HNKQ,NDGR001-GreaseTBirdsJacket-L,Mad Engine Grease Movie Black T-Birds Men's Black Leather Jacket 50s Halloween Costume Cosplay,1,CR-UNWANTED_ITEM
114-8462694-0569028,05/29/25,B005Y4I6VW,fearloathingglasses,Costume Agent Fear and Loathing in Las Vegas Hunter S. Thompson Costume Yellow Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,1,CR-UNWANTED_ITEM
111-1946881-3006654,05/29/25,B07XYDVKMS,100600-BlueVikingHelmet,Costume Agent Viking Furry Blue Hat Helmet Adult Halloween Costume Accessory,1,CR-UNWANTED_ITEM
113-2103879-8724232,05/29/25,B0147ARPAG,sharkcostume-XXL,Superstar Singer Halftime Show Left Shark Dancing Mascot Blue Zip Up Jumpsuit Adult Halloween Costume Cosplay,1,DID_NOT_LIKE_FABRIC
114-9770002-8053852,05/29/25,B002X5UZMS,JackDaniels001-MensShirt-XL,Jack Daniel's Whiskey Old No. 7 Tenessee Label Adult Black T-Shirt (X-Large),1,DID_NOT_LIKE_FABRIC
112-1959614-3888246,05/29/25,B07BMD7NCZ,SecretStuffWaterBottle,Costume Agent Michael's Secret Stuff Office TV Show Halloween Cosplay Costume Prop Accessory,1,CR-DEFECTIVE
113-2371980-5961840,05/29/25,B07BTMSJCG,hulkb1goldN,Costume Agent Hulkamania Bandana Gold One Size,1,CR-UNWANTED_ITEM
112-6741390-2108227,05/28/25,B08GYM4R3J,220757-AverageJoesWomensSet-L,Costume Agent Dodgeball Average Joe's Halloween Costume For Women,1,CR-DEFECTIVE
112-6741390-2108227,05/28/25,B08GYG4T7H,220757-AverageJoesWomensSet-XL,Costume Agent Dodgeball Average Joe's Halloween Costume For Women,1,DID_NOT_LIKE_FABRIC
111-0963208-3029002,05/28/25,B09GPN6YGP,220759-CluesShirtKIDS-BLUE-3T,"Halloween Costume ""Blue and Detective"" Green Striped Kids Shirt (blue, 3T)",1,AMZ-PG-BAD-DESC
114-0396603-2025019,05/28/25,B08KRG2J6M,220785-DumbDumber-ORNG-L,Costume Agent Dumb and Dumber Tuxedo Halloween Costume Cosplay - Movie Costumes - 70s Tuxedo - Orange - Large - Dumb & Dumber Tuxedo - Women & Mens Costume,1,AMZ-PG-APP-TOO-SMALL
111-9364340-6902643,05/28/25,B09HWT1C5M,204092-RainbowCardigan-XL,Costume Agent Golf Rainbow Cardigan Sweater Caddy Halloween Cosplay,1,AMZ-PG-APP-TOO-SMALL
111-2514145-4558648,05/28/25,B09HY1PY2S,220843-ConeHead-Adult,Costume Agent Cone Bald Head Halloween Conical Alien Skull Egg Head Cosplay (ADULT),2,CR-UNWANTED_ITEM
113-9353227-0325055,05/28/25,B08GYNRBF5,220757-AverageJoesWomensSet-S,Costume Agent Dodgeball Average Joe's Halloween Costume For Women,1,AMZ-PG-APP-TOO-SMALL
112-4676166-6820261,05/28/25,B0DBMSRV7V,WoodyRoyBowlingPantsShirtSet-M,Roy Munson Character Bowling Movie Halloween Cosplay Shirt and Pants Costume Set,1,CR-MISSED_ESTIMATED_DELIVERY
111-7677058-1527421,05/28/25,B0CFMGKNKL,220980-SaltPepaCostume-L,Salt and Pepper Idol Maker Let There be Music Jacket and Hat Halloween Costume Cosplay,1,CR-QUALITY_UNACCEPTABLE
111-7677058-1527421,05/28/25,B0CFMGKNKL,220980-SaltPepaCostume-L,Salt and Pepper Idol Maker Let There be Music Jacket and Hat Halloween Costume Cosplay,1,CR-QUALITY_UNACCEPTABLE
111-7727889-3668254,05/28/25,B01LBRLGPS,100576BLACK-M,Caribbean Pirate Boots Adventure Footwear Halloween Costume Renaissance Medieval Cosplay,1,AMZ-PG-APP-TOO-SMALL
