amazon-order-id,purchase-date,product-name,sku,asin,quantity
702-9114332-6458640,2025-01-23,Toy Story Woody Cowboy Costume Shirt (Small/Medium),woodycostumeshirt-FBA-S-M,B01596A5A4,1
701-9847300-7664253,2025-01-08,Toy Story Woody Cowboy Costume Shirt (Small/Medium),woodycostumeshirt-FBA-S-M,B01596A5A4,1
702-2812793-5896259,2025-01-02,Disfraz de Agente Jessie Cowgirl Halloween - Camisa de manga larga Cosplay color blanco,CowgirlShirt-204051-FBA-L,B07FTP7GM8,1
702-8056545-1725021,2025-02-01,Ripple Junction Ferris Bueller - Save Ferris T-Shirt Size XL Grey,ferris002-XL,B0039VARNW,1
702-5231295-9828216,2025-02-01,"Mad Engine Chester Cheetos Beanie Hat Fire Breather Pom Winter Cuffed Beanies, Black/Orange, One Size",CDCT-CheetosPomBeanie-OS,B0CLYNWFFB,1
701-5472399-5230638,2025-01-31,Rocky Balboa Mens Apollo Movie Boxing American Flag Shorts (X-Large),ApolloShorts-XL,B0019CEOXM,1
701-1828476-4048236,2025-01-31,Rubie's Napoleon Dynamite Boot Tops Costume Accessory,napoleondynamite003-FBA,B001K3C09U,1
702-0051736-6689827,2025-01-31,Ripple Junction T-Shirt - Big Bang Theory - Bazinga! No Face - XL - Red,bigbang007-XL,B004QXW4X8,1
701-6017329-3423430,2025-01-31,"Adult Unisex Ellen Griswold Christmas Vacation Movie Ugly Christmas Sweater, Black, Medium",220887-EllenGriswoldSweater-M,B0B8T6DG58,1
702-9444013-9827437,2025-01-31,Rocky Balboa BLACK Movie italian Stallion Boxing Robe,rockyrobe1,B000JHGO4A,1
702-6527648-4306634,2025-01-31,Step Brothers Pablo Cruise Adult Gray and Maroon Raglan T-Shirt (Adult X-Large),stepbros010-FBA-XL,B00BJQKCPC,1
702-1556580-6045026,2025-01-30,"Power Rangers Blue Costume T-Shirt(Blue,X-Large)",PowerRangers-Blue-SLShirt-FBA-XL,B08LQPSKDM,1
701-9521660-8372201,2025-01-30,Watchmen Bloody Smiley Face Black Adult T-Shirt Tee (Medium),watchmen006-M,B0050DD5BI,1
702-9264489-4526622,2025-01-29,Batman Dark Knight Harvey's Two Face Coin Prop Replica,batmancoin1,B001F7IP8G,1
702-2940087-0488228,2025-01-29,"MJC Dr Seuss Thing 1 & 2 Interchangeable Patches Adult Costume, Multicolor, Medium",Thing1-6-UnionSuit-ADULT-M,B07ZJR25SL,1
702-6303652-1859434,2025-01-29,Suicide Squad Harley Quinn Cosplay Accessory Two Glove Set,EMSQ6009TV-HarleyQuinnGloveSET,B0767MLQ4Y,1
702-0528490-6004268,2025-01-29,Scarface Tony Montana Black Gradiant Sunglasses,scarfaceglasses001,B016X4YD3G,1
701-0959031-4353830,2025-01-28,Yellow Wrestling Spandex Briefs Shorts,hulkbriefs-L,B001GMPD80,1
701-6731793-2539402,2025-01-28,TV Store SOA Sons of Anarchy Reaper Crew Fitted Baseball Cap Hat (Adult Large/X-Large),soahat005-L/XL,B0099U0LZ6,1
702-2219046-8852252,2025-01-28,METALLICA Logo Blue T-Shirt (Adult XX-Large),metallica003-XXL,B01JGPD4P2,1
701-2985199-4269826,2025-01-27,Hulk Hogan Hulkamania Sleeveless T-Shirt Gold [Apparel] Size: Medium,hulk003-M,B000HQ6Q28,1
702-3176979-1201868,2025-01-26,"Dukes 01 Belt Buckle, Multicoloured, One Size",dukbuckle2,B07YYM57QT,1
